FileType	fastq	Read submission file type										
sample	study	instrument_model	library_name	library_source	library_selection	library_strategy	forward_file_name	forward_file_md5	reverse_file_name	reverse_file_md5	library_construction_protocol
ERS28440934	PRJEB106128	Illumina HiSeq 2500	13F-HL_1_9_19_S184_L004	METAGENOMIC	RANDOM	WGS	13F-HL_1_9_19_S184_L004_R1_001.fastq.gz	d1edad96ce06512f717044e29184d329	13F-HL_1_9_19_S184_L004_R2_001.fastq.gz	208b78a1f7d04795a29c0cd6909daf92	Shotgun metagenomic library preparation
ERS28440935	PRJEB106128	Illumina HiSeq 2500	13F-HL_2_27_19_S272_L005	METAGENOMIC	RANDOM	WGS	13F-HL_2_27_19_S272_L005_R1_001.fastq.gz	f88ebf635663c8ad0da012051ca3b80d	13F-HL_2_27_19_S272_L005_R2_001.fastq.gz	99f3e2af469614944ac6ad87f3a219bc	Shotgun metagenomic library preparation
ERS28440936	PRJEB106128	Illumina HiSeq 2500	13F-HL_5_22_19_S331_L006	METAGENOMIC	RANDOM	WGS	13F-HL_5_22_19_S331_L006_R1_001.fastq.gz	3fcbc1130e20363eb84a7e79179fe38c	13F-HL_5_22_19_S331_L006_R2_001.fastq.gz	273535d2d909a02f9a95e4350b6f21e4	Shotgun metagenomic library preparation
ERS28440937	PRJEB106128	Illumina HiSeq 2500	13F-HL_9_20_18_S85_L003	METAGENOMIC	RANDOM	WGS	13F-HL_9_20_18_S85_L003_R1_001.fastq.gz	1cd41e9d5d3beb0b0912957c79af4904	13F-HL_9_20_18_S85_L003_R2_001.fastq.gz	5dca032cb068c251d1623cf9bd7f1fd6	Shotgun metagenomic library preparation
ERS28440938	PRJEB106128	Illumina HiSeq 2500	13F-HR_10_18_18_S158_L004	METAGENOMIC	RANDOM	WGS	13F-HR_10_18_18_S158_L004_R1_001.fastq.gz	e2b322dd23710ad459e42e2debd9bd20	13F-HR_10_18_18_S158_L004_R2_001.fastq.gz	45b59338805fa79b0adc51f0d2722b43	Shotgun metagenomic library preparation
ERS28440939	PRJEB106128	Illumina HiSeq 2500	13F-HR_1_9_19_S185_L004	METAGENOMIC	RANDOM	WGS	13F-HR_1_9_19_S185_L004_R1_001.fastq.gz	8de434fdf56e63cd1bd62222210b354a	13F-HR_1_9_19_S185_L004_R2_001.fastq.gz	524111470caf7fdd7c3095f3e323a9d8	Shotgun metagenomic library preparation
ERS28440940	PRJEB106128	Illumina HiSeq 2500	13F-HR_2_27_19_S271_L005	METAGENOMIC	RANDOM	WGS	13F-HR_2_27_19_S271_L005_R1_001.fastq.gz	414a377c5bc69f177c34ee835ebcc7cd	13F-HR_2_27_19_S271_L005_R2_001.fastq.gz	3cd04d99a98c01be8ce79c4e99e39d4b	Shotgun metagenomic library preparation
ERS28440941	PRJEB106128	Illumina HiSeq 2500	13F-HR_5_22_19_S330_L006	METAGENOMIC	RANDOM	WGS	13F-HR_5_22_19_S330_L006_R1_001.fastq.gz	5312ad80d095aafc720b81f72c9fd9cb	13F-HR_5_22_19_S330_L006_R2_001.fastq.gz	ed831cdcd89672ec6beb796dbffb978c	Shotgun metagenomic library preparation
ERS28440942	PRJEB106128	Illumina HiSeq 2500	13F-HR_9_20_18_S86_L003	METAGENOMIC	RANDOM	WGS	13F-HR_9_20_18_S86_L003_R1_001.fastq.gz	a3e3b99595e3909eb263492ea28c0c25	13F-HR_9_20_18_S86_L003_R2_001.fastq.gz	08ecc2d8b3b8a71e1bc781e74ee393cf	Shotgun metagenomic library preparation
ERS28440943	PRJEB106128	Illumina HiSeq 2500	13M-HL_10_18_18_S161_L004	METAGENOMIC	RANDOM	WGS	13M-HL_10_18_18_S161_L004_R1_001.fastq.gz	7f65d9aa97a9ae3b1959f76adcdd965c	13M-HL_10_18_18_S161_L004_R2_001.fastq.gz	9014135dcb4820bcdb36a133589c7763	Shotgun metagenomic library preparation
ERS28440944	PRJEB106128	Illumina HiSeq 2500	13M-HL_1_9_19_S182_L004	METAGENOMIC	RANDOM	WGS	13M-HL_1_9_19_S182_L004_R1_001.fastq.gz	b00204b6a773bd011d80224c4b0a13b3	13M-HL_1_9_19_S182_L004_R2_001.fastq.gz	e7af31e440a3b01b9044eda8a282ae4a	Shotgun metagenomic library preparation
ERS28440945	PRJEB106128	Illumina HiSeq 2500	13M-HL_2_27_19_S274_L005	METAGENOMIC	RANDOM	WGS	13M-HL_2_27_19_S274_L005_R1_001.fastq.gz	7be06351bcf78761ecc35d51f7152539	13M-HL_2_27_19_S274_L005_R2_001.fastq.gz	3e721979032d3a48eb646c3433583f19	Shotgun metagenomic library preparation
