Checklist	ERC000011	ENA default sample checklist				
tax_id	scientific_name	sample_alias	sample_title	sample_description	collection date	geographic location (country and/or sea)
1861841	feces metagenome	15M-HL_10_18_18_S169_L004	15M-HL_10_18_18_S169_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HL_1_9_19_S174_L004	15M-HL_1_9_19_S174_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HL_2_27_19_S282_L005	15M-HL_2_27_19_S282_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HL_5_22_19_S339_L006	15M-HL_5_22_19_S339_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HL_9_20_18_S92_L003	15M-HL_9_20_18_S92_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HR_10_18_18_S168_L004	15M-HR_10_18_18_S168_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HR_1_9_19_S175_L004	15M-HR_1_9_19_S175_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HR_2_27_19_S281_L005	15M-HR_2_27_19_S281_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HR_5_22_19_S338_L006	15M-HR_5_22_19_S338_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	15M-HR_9_20_18_S93_L003	15M-HR_9_20_18_S93_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HL_10_18_18_S147_L004	16F-HL_10_18_18_S147_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HL_1_9_19_S172_L004	16F-HL_1_9_19_S172_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HL_2_27_19_S284_L005	16F-HL_2_27_19_S284_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HL_9_20_18_S90_L003	16F-HL_9_20_18_S90_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HR_10_18_18_S146_L004	16F-HR_10_18_18_S146_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HR_1_9_19_S173_L004	16F-HR_1_9_19_S173_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HR_2_27_19_S283_L005	16F-HR_2_27_19_S283_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16F-HR_9_20_18_S91_L003	16F-HR_9_20_18_S91_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HL_10_18_18_S149_L004	16M-HL_10_18_18_S149_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HL_1_9_19_S170_L004	16M-HL_1_9_19_S170_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HL_2_27_19_S286_L005	16M-HL_2_27_19_S286_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HL_5_22_19_S340_L006	16M-HL_5_22_19_S340_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HL_9_20_18_S88_L003	16M-HL_9_20_18_S88_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HR_10_18_18_S148_L004	16M-HR_10_18_18_S148_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HR_1_9_19_S171_L004	16M-HR_1_9_19_S171_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HR_2_27_19_S285_L005	16M-HR_2_27_19_S285_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HR_5_22_19_S341_L006	16M-HR_5_22_19_S341_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	16M-HR_9_20_18_S89_L003	16M-HR_9_20_18_S89_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HL_10_18_18_S99_L003	1F-HL_10_18_18_S99_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HL_1_9_19_S151_L004	1F-HL_1_9_19_S151_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HL_2_27_19_S224_L005	1F-HL_2_27_19_S224_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HL_5_22_19_S295_L006	1F-HL_5_22_19_S295_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HL_9_20_18_S32_L003	1F-HL_9_20_18_S32_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HR_10_18_18_S98_L003	1F-HR_10_18_18_S98_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HR_1_9_19_S150_L004	1F-HR_1_9_19_S150_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HR_2_27_19_S223_L005	1F-HR_2_27_19_S223_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HR_5_22_19_S294_L006	1F-HR_5_22_19_S294_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1F-HR_9_20_18_S31_L003	1F-HR_9_20_18_S31_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HL_1_9_19_S153_L004	1M-HL_1_9_19_S153_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HL_2_27_19_S226_L005	1M-HL_2_27_19_S226_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HL_5_22_19_S297_L006	1M-HL_5_22_19_S297_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HL_9_20_18_S29_L003	1M-HL_9_20_18_S29_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HR_10_18_18_S100_L003	1M-HR_10_18_18_S100_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HR_1_9_19_S152_L004	1M-HR_1_9_19_S152_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HR_2_27_19_S225_L005	1M-HR_2_27_19_S225_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HR_5_22_19_S296_L006	1M-HR_5_22_19_S296_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	1M-HR_9_20_18_S30_L003	1M-HR_9_20_18_S30_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HL_10_18_18_S103_L003	2F-HL_10_18_18_S103_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HL_1_9_19_S155_L004	2F-HL_1_9_19_S155_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HL_2_27_19_S228_L005	2F-HL_2_27_19_S228_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HL_5_22_19_S299_L006	2F-HL_5_22_19_S299_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HL_9_20_18_S28_L003	2F-HL_9_20_18_S28_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HR_10_18_18_S102_L003	2F-HR_10_18_18_S102_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HR_1_9_19_S154_L004	2F-HR_1_9_19_S154_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HR_2_27_19_S227_L005	2F-HR_2_27_19_S227_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HR_5_22_19_S298_L006	2F-HR_5_22_19_S298_L006 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2F-HR_9_20_18_S26_L003	2F-HR_9_20_18_S26_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HL_10_18_18_S105_L003	2M-HL_10_18_18_S105_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HL_1_9_19_S157_L004	2M-HL_1_9_19_S157_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HL_2_27_19_S230_L005	2M-HL_2_27_19_S230_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HL_9_20_18_S27_L003	2M-HL_9_20_18_S27_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HR_10_18_18_S104_L003	2M-HR_10_18_18_S104_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HR_1_9_19_S156_L004	2M-HR_1_9_19_S156_L004 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HR_2_27_19_S229_L005	2M-HR_2_27_19_S229_L005 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	2M-HR_9_20_18_S97_L003	2M-HR_9_20_18_S97_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
1861841	feces metagenome	3F-HL_10_18_18_S107_L003	3F-HL_10_18_18_S107_L003 mouse fecal metagenome	mouse fecal metagenome	2021	not collected
