"","term","estimate","std.error","statistic","p.value","variable","BH"
"119","DietOliveOil",0.0875706680665941,0.116552668542659,0.751339880601213,0.455434717412047,"dhSph",0.522231809299147
"120","DietPalmOil",0.328062685322823,0.116552668542659,2.81471620877346,0.00662504401398135,"dhSph",0.0118698705250499
"121","SEXM",0.0911828917004994,0.035001954856146,2.60507997553995,0.0116066180589209,"dhSph.1P",0.019328759765209
"122","DietCoconutOil",0.338961068134165,0.0799303557040237,4.24070511320271,7.96022604309187e-05,"dhSph.1P",0.000268462525374863
"123","DietFishOil",0.0283445196479323,0.0799303557040236,0.354615207179736,0.724142284943532,"dhSph.1P",0.771222743097755
"124","DietKetogenic",0.266071592368527,0.0799303557040237,3.32879279749199,0.00150689079103542,"dhSph.1P",0.00355048241175468
"125","DietLard",0.206355574070763,0.0799303557040237,2.5816921775612,0.0123354894948592,"dhSph.1P",0.0201109402191069
"126","DietMilkFat",0.235106245548413,0.0799303557040237,2.94138870617559,0.00466231135450887,"dhSph.1P",0.00886096743619366
"127","DietOliveOil",0.299480432945724,0.0799303557040237,3.74676717384667,0.000409367188699739,"dhSph.1P",0.00115428125338287
"128","DietPalmOil",0.454156540445451,0.0799303557040237,5.68190315738316,4.33194850463292e-07,"dhSph.1P",2.66105408141737e-06
"129","SEXM",0.07217187279048,0.0393079475013506,1.83606312153542,0.071388541161842,"Sph",0.0986251331713802
"130","DietCoconutOil",0.380933559029998,0.0897635071724101,4.24374638457846,7.87807914252611e-05,"Sph",0.000268322695547424
"131","DietFishOil",0.112911417989607,0.08976350717241,1.25787663100926,0.213392115021932,"Sph",0.259388295291678
"132","DietKetogenic",0.214681840092371,0.0897635071724101,2.39163828213651,0.0199797273278306,"Sph",0.0308207452949495
"133","DietLard",0.144259372226497,0.0897635071724101,1.60710490009504,0.113370498185375,"Sph",0.146065360957936
"134","DietMilkFat",-0.26158005872533,0.0897635071724101,-2.91410247844828,0.00503277162431928,"Sph",0.00940909477590126
"135","DietOliveOil",-0.0355177738945904,0.0897635071724101,-0.395681664112911,0.693767075237577,"Sph",0.743476242622201
"136","DietPalmOil",0.135238331949283,0.0897635071724101,1.50660704120583,0.137247213906659,"Sph",0.172941544263336
"137","SEXM",0.0120061899021872,0.021551617557951,0.557089966444663,0.579573281188612,"Sph.1P",0.638831042348222
"138","DietCoconutOil",0.150323020300908,0.0492152071072576,3.05440186349924,0.00338173092849479,"Sph.1P",0.00684303199648357
"139","DietFishOil",-0.0447132420600492,0.0492152071072576,-0.90852491919018,0.367297226605087,"Sph.1P",0.429762741333843
"140","DietKetogenic",0.161725155637514,0.0492152071072576,3.28608097259566,0.00171335570838959,"Sph.1P",0.00398239434922987
"141","DietLard",0.0857815072990084,0.0492152071072576,1.74298783528554,0.0865454742122539,"Sph.1P",0.115842969373601
"142","DietMilkFat",-0.0177768762705749,0.0492152071072576,-0.361206978807031,0.719234969903361,"Sph.1P",0.768375247350174
"143","DietOliveOil",0.0880370107785807,0.0492152071072576,1.78881723664632,0.0787781453487671,"Sph.1P",0.107966860557673
"144","DietPalmOil",0.2063327448176,0.0492152071072576,4.19245913906095,9.37990943567622e-05,"Sph.1P",0.000313270761735206
"145","SEXM",0.171336920968763,0.0532984735390459,3.21466844342631,0.00211923096582922,"C14HexosylCer",0.00458500284430976
"146","DietCoconutOil",1.33352646582376,0.121712229101666,10.9563884883734,7.51593061759931e-16,"C14HexosylCer",2.87275570272685e-14
"147","DietFishOil",0.482411509288271,0.121712229101666,3.96354181374258,0.000201930195278026,"C14HexosylCer",0.000620214171211078
"148","DietKetogenic",-0.0206912540483722,0.121712229101667,-0.170001438648279,0.865590598397789,"C14HexosylCer",0.894183681227745
"149","DietLard",0.482936987717616,0.121712229101667,3.96785919773286,0.000199068680078923,"C14HexosylCer",0.000616933567091437
"150","DietMilkFat",1.06633383467563,0.121712229101667,8.76110677247491,2.86305506407685e-12,"C14HexosylCer",5.4716163446802e-11
"151","DietOliveOil",0.631203134519827,0.121712229101666,5.18602887465467,2.75720828203022e-06,"C14HexosylCer",1.35497092716914e-05
"152","DietPalmOil",0.660455466116135,0.121712229101667,5.42636899341031,1.13090241479333e-06,"C14HexosylCer",6.37754804408044e-06
"153","SEXM",0.162750456248962,0.0458647907203984,3.54848356860764,0.000767452867734184,"C16HexosylCer",0.00198499087594406
"154","DietCoconutOil",0.519824132858449,0.104736694040057,4.96315200343866,6.22930975958705e-06,"C16HexosylCer",2.74728532986916e-05
"155","DietFishOil",0.0580873872718081,0.104736694040057,0.554603979094399,0.58126196585754,"C16HexosylCer",0.638831042348222
"156","DietKetogenic",0.221056626957033,0.104736694040057,2.11059389436609,0.0390558603357345,"C16HexosylCer",0.0566886749176905
"157","DietLard",0.476173090544065,0.104736694040057,4.54638266854166,2.76209380039212e-05,"C16HexosylCer",0.000106759580599426
"158","DietMilkFat",0.681634611953583,0.104736694040057,6.50807835974745,1.82983534317366e-08,"C16HexosylCer",1.70125231905876e-07
"159","DietOliveOil",0.67694239607475,0.104736694040057,6.46327824530964,2.17623434542355e-08,"C16HexosylCer",1.91955029442487e-07
"160","DietPalmOil",0.702301005891166,0.104736694040057,6.70539596774526,8.51290670653967e-09,"C16HexosylCer",8.13455529736013e-08
"161","SEXM",0.0389065968690238,0.0509481290753323,0.763651140388221,0.448118229165797,"C18.1HexosylCer",0.517290841721591
"162","DietCoconutOil",0.465144901521646,0.116344989763643,3.99797965057709,0.000180164753225137,"C18.1HexosylCer",0.000568593349627955
"163","DietFishOil",-0.544254216505208,0.116344989763643,-4.67793428501621,1.73540815263443e-05,"C18.1HexosylCer",6.9416326105377e-05
"164","DietKetogenic",0.261450511801988,0.116344989763644,2.24720043667655,0.0283809032320927,"C18.1HexosylCer",0.0424479596166952
"165","DietLard",0.476372679637647,0.116344989763643,4.09448383299878,0.000130553797584442,"C18.1HexosylCer",0.000431831792010077
"166","DietMilkFat",0.90936975860376,0.116344989763643,7.81614885566759,1.120099725528e-10,"C18.1HexosylCer",1.67527958948536e-09
"167","DietOliveOil",0.797679034758079,0.116344989763643,6.85615286381111,4.73712671991526e-09,"C18.1HexosylCer",4.79285762250249e-08
"168","DietPalmOil",0.700497513774989,0.116344989763643,6.0208653178625,1.19408238988916e-07,"C18.1HexosylCer",8.38294575758921e-07
"169","SEXM",-0.281476778489196,0.0446604594386998,-6.30259477906954,4.04743030189614e-08,"C18HexosylCer",3.27501060259514e-07
"170","DietCoconutOil",0.580511670056236,0.101986486855136,5.69204497533883,4.16911915299576e-07,"C18HexosylCer",2.6075945247828e-06
"171","DietFishOil",-0.24897231709106,0.101986486855136,-2.44122848789474,0.0176563195621634,"C18HexosylCer",0.0276080633153828
"172","DietKetogenic",0.899783635667619,0.101986486855136,8.82257702381389,2.25936577287732e-12,"C18HexosylCer",4.57189309335175e-11
"173","DietLard",0.5331625421915,0.101986486855136,5.22777633225878,2.36382860849777e-06,"C18HexosylCer",1.21366722585557e-05
"174","DietMilkFat",0.545846607269732,0.101986486855136,5.35214638822756,1.49107409286275e-06,"C18HexosylCer",8.273056257174e-06
